MetodoPago,EquivalenteDiezPropina,NumComensales,TiempoEstancia,Horario,TotalDeConsumo
TDEBITO,Mayor,ComensalesQ2,EstanciaQ1,Lunch,TotalConsumoQ3
TCAmerican,Mayor,ComensalesQ1,EstanciaQ1,Dinner,TotalConsumoQ2
TDEBITO,Mayor,ComensalesQ2,EstanciaQ4,Dinner,TotalConsumoQ2
TCREDITO,Menor,ComensalesQ2,EstanciaQ2,Lunch,TotalConsumoQ2
Efectivo,Menor,ComensalesQ1,EstanciaQ1,LateNight,TotalConsumoQ1
TDEBITO,Mayor,ComensalesQ2,EstanciaQ1,Dinner,TotalConsumoQ1
TDEBITO,Menor,ComensalesQ2,EstanciaQ2,Dinner,TotalConsumoQ1
TCREDITO,Menor,ComensalesQ1,EstanciaQ1,Lunch,TotalConsumoQ1
TDEBITO,Mayor,ComensalesQ2,EstanciaQ2,Lunch,TotalConsumoQ2
Efectivo,Menor,ComensalesQ2,EstanciaQ2,Lunch,TotalConsumoQ3
TCAmerican,Mayor,ComensalesQ3,EstanciaQ1,Lunch,TotalConsumoQ3
Efectivo,Menor,ComensalesQ3,EstanciaQ1,Dinner,TotalConsumoQ2
TDEBITO,Mayor,ComensalesQ4,EstanciaQ3,Lunch,TotalConsumoQ1
Efectivo,Menor,ComensalesQ1,EstanciaQ2,Dinner,TotalConsumoQ1
TCAmerican,Mayor,ComensalesQ4,EstanciaQ2,Dinner,TotalConsumoQ3
TCREDITO,Menor,ComensalesQ1,EstanciaQ3,Lunch,TotalConsumoQ2
TDEBITO,Menor,ComensalesQ2,EstanciaQ2,Lunch,TotalConsumoQ4
TDEBITO,Menor,ComensalesQ4,EstanciaQ1,LateNight,TotalConsumoQ2
TDEBITO,Menor,ComensalesQ4,EstanciaQ1,Lunch,TotalConsumoQ3
TCAmerican,Mayor,ComensalesQ3,EstanciaQ1,Lunch,TotalConsumoQ2
Efectivo,Menor,ComensalesQ4,EstanciaQ2,Dinner,TotalConsumoQ3
TCREDITO,Menor,ComensalesQ2,EstanciaQ1,Lunch,TotalConsumoQ1
Efectivo,Menor,ComensalesQ3,EstanciaQ2,LateNight,TotalConsumoQ2
TCAmerican,Mayor,ComensalesQ1,EstanciaQ1,Dinner,TotalConsumoQ2
Efectivo,Menor,ComensalesQ2,EstanciaQ1,Lunch,TotalConsumoQ4
TDEBITO,Mayor,ComensalesQ2,EstanciaQ1,Dinner,TotalConsumoQ2
Efectivo,Menor,ComensalesQ2,EstanciaQ2,Dinner,TotalConsumoQ3
TCREDITO,Mayor,ComensalesQ2,EstanciaQ1,Lunch,TotalConsumoQ3
TCAmerican,Mayor,ComensalesQ3,EstanciaQ1,Lunch,TotalConsumoQ4
TCREDITO,Menor,ComensalesQ2,EstanciaQ1,LateNight,TotalConsumoQ2
TCREDITO,Menor,ComensalesQ2,EstanciaQ2,Lunch,TotalConsumoQ2
TDEBITO,Mayor,ComensalesQ3,EstanciaQ3,Lunch,TotalConsumoQ4
TCAmerican,Mayor,ComensalesQ2,EstanciaQ2,Dinner,TotalConsumoQ4
TDEBITO,Mayor,ComensalesQ4,EstanciaQ1,Dinner,TotalConsumoQ3
TCREDITO,Menor,ComensalesQ2,EstanciaQ2,LateNight,TotalConsumoQ1
TCREDITO,Menor,ComensalesQ2,EstanciaQ2,Dinner,TotalConsumoQ2
TCAmerican,Mayor,ComensalesQ1,EstanciaQ1,Lunch,TotalConsumoQ1
Efectivo,Menor,ComensalesQ2,EstanciaQ1,LateNight,TotalConsumoQ3
TCREDITO,Menor,ComensalesQ3,EstanciaQ3,Lunch,TotalConsumoQ1
TCREDITO,Mayor,ComensalesQ2,EstanciaQ3,Dinner,TotalConsumoQ3
TDEBITO,Mayor,ComensalesQ3,EstanciaQ3,Lunch,TotalConsumoQ2
TCAmerican,Mayor,ComensalesQ2,EstanciaQ2,Dinner,TotalConsumoQ3
TDEBITO,Menor,ComensalesQ2,EstanciaQ1,Dinner,TotalConsumoQ1
Efectivo,Menor,ComensalesQ1,EstanciaQ1,Lunch,TotalConsumoQ2
TCREDITO,Menor,ComensalesQ3,EstanciaQ3,Lunch,TotalConsumoQ1
TCAmerican,Mayor,ComensalesQ2,EstanciaQ2,Lunch,TotalConsumoQ3
TDEBITO,Mayor,ComensalesQ2,EstanciaQ1,LateNight,TotalConsumoQ4
TDEBITO,Menor,ComensalesQ2,EstanciaQ1,Dinner,TotalConsumoQ2
TDEBITO,Menor,ComensalesQ2,EstanciaQ2,Lunch,TotalConsumoQ3
TDEBITO,Menor,ComensalesQ2,EstanciaQ2,Lunch,TotalConsumoQ3
TCAmerican,Mayor,ComensalesQ1,EstanciaQ2,Lunch,TotalConsumoQ1
TCREDITO,Menor,ComensalesQ2,EstanciaQ2,Lunch,TotalConsumoQ2
TCREDITO,Mayor,ComensalesQ2,EstanciaQ2,Dinner,TotalConsumoQ3
Efectivo,Menor,ComensalesQ3,EstanciaQ1,Lunch,TotalConsumoQ3
Efectivo,Menor,ComensalesQ1,EstanciaQ1,Lunch,TotalConsumoQ2
TCREDITO,Menor,ComensalesQ3,EstanciaQ3,Lunch,TotalConsumoQ2
Efectivo,Menor,ComensalesQ2,EstanciaQ1,LateNight,TotalConsumoQ1
TCREDITO,Menor,ComensalesQ2,EstanciaQ3,Lunch,TotalConsumoQ2
Efectivo,Menor,ComensalesQ2,EstanciaQ3,Dinner,TotalConsumoQ2
TDEBITO,Mayor,ComensalesQ3,EstanciaQ2,Lunch,TotalConsumoQ2
TDEBITO,Menor,ComensalesQ2,EstanciaQ1,Lunch,TotalConsumoQ3
Efectivo,Menor,ComensalesQ1,EstanciaQ1,Dinner,TotalConsumoQ1
TCREDITO,Menor,ComensalesQ1,EstanciaQ1,Dinner,TotalConsumoQ1
TCREDITO,Menor,ComensalesQ3,EstanciaQ1,Lunch,TotalConsumoQ3
Efectivo,Menor,ComensalesQ2,EstanciaQ1,Lunch,TotalConsumoQ2
TCAmerican,Mayor,ComensalesQ4,EstanciaQ2,Dinner,TotalConsumoQ4
Efectivo,Menor,ComensalesQ2,EstanciaQ1,Dinner,TotalConsumoQ1
TCREDITO,Mayor,ComensalesQ1,EstanciaQ1,LateNight,TotalConsumoQ2
TCREDITO,Mayor,ComensalesQ3,EstanciaQ1,LateNight,TotalConsumoQ3
Efectivo,Menor,ComensalesQ2,EstanciaQ1,LateNight,TotalConsumoQ2
Efectivo,Menor,ComensalesQ2,EstanciaQ2,Dinner,TotalConsumoQ1
TCREDITO,Menor,ComensalesQ3,EstanciaQ3,Dinner,TotalConsumoQ2
TCAmerican,Mayor,ComensalesQ3,EstanciaQ3,Dinner,TotalConsumoQ1
